source,target
PDGFB,PDGFRB
PLK1,KIZ
RPL5,TP73
DVL3,CSNK1E
SRC,TNS3
CSNK2A1,PRPF3
USP7,MDM4
MMP2,TGFB1
SRC,GAB1
RAC1,MAPK9
BORA,PLK1
STUB1,SMAD1
JUN,SMAD4
LCK,PTEN
PTPN6,PTK2B
MST1,MST1R
PTPN12,PTK2B
CDK1,NCOA3
AURKA,BRCA1
TNKS,AXIN1
AKT1,NCF1
CHEK1,TLK1
PLK3,VRK1
CDK7,RARA
KSR1,RAF1
EPGN,ERBB4
IKBKB,IKBKG
DDX5,TP53
MAPK8,ELK1
PTPRB,INSR
AURKA,MAPRE3
LTK,SHC1
ROCK1,PTEN
CDK2,CDC6
CSNK1E,AXIN1
CASP3,AKT1
CDK1,ERF
MTOR,EIF4EBP3
CSNK1E,LEF1
PRKCA,GSK3B
MAP2K1,GSK3B
AURKA,PARD3
GH1,PRLR
AURKA,TP53
CSK,PTPRC
PYCARD,BAX
E2F1,HDAC1
SMAD3,CEBPA
WEE1,CDK1
PIAS1,STAT1
PPM1B,IKBKB
CDK20,ICK
EGFR,ERBB3
CDK7,NR5A1
ABL1,RAD51
BIRC5,CASP3
WWP1,SMAD7
PLK1,TP73
PRKG2,HSPB1
CASP3,CASP9
PHLPP2,AKT1
CASP8,BID
CDK6,CDKN1B
CDKN2C,CDK6
EP300,SMAD7
SYK,SHC1
TYK2,STAT3
CSNK1E,LRP6
AKT2,SH3RF1
MYOD1,CDKN1A
CSNK1D,NCOA3
CTBP1,ZEB2
AKT1,TTC3
LATS2,SNAI1
MAPK1,ATF2
AURKB,H3F3B
GSK3B,MAFA
ERBB2,PLCG1
MAX,MXD4
TNKS2,AXIN1
CDK5,AGAP2
AKT1,YBX1
CDK1,KRT8
AKT1,PPP1CA
CDK1,MAP2K1
RHEB,MTOR
SRPK1,SRSF1
FGFR1,BCAR1
LCK,STAT5A
MAPK3,CIC
CDK1,BCL2
PDPK1,SGK1
STK11,MARK2
CDK1,BIRC5
BMP10,BMPR1A
ERBB3,PIK3CD
GSK3B,CIITA
MAP2K1,MAPK1
CDK1,SYN3
TCL1A,AKT1
AKT1,STK3
AKT1,HTRA2
SMAD6,SMAD4
AURKA,CETN2
RIN1,EGFR
MDM4,MDM2
PRKCA,EGFR
PTEN,AKT1
CCND1,HDAC3
PLK1,CEP55
AURKA,MAP9
EGFR,STAT5B
PELI2,IRAK1
CDK7,ESR1
CAMK2A,HRH1
LAMB3,ITGA6
PTK6,KHDRBS1
ABL1,ESR1
GRB2,CBL
MAP3K7,IKBKG
DYRK1A,AMPH
SRC,MUC1
SDHAF2,SDHB
STK11,PRKAA1
WNK1,STK39
TGFBR1,RHOA
MYLK,MYL6B
MAPK8,ATF2
DTX4,TBK1
MAPK8,SP1
DUSP26,TP53
MAPK3,PLCB1
SRC,SHC1
CASP3,GSN
MAPK3,NOS2
CSNK1A1,HNRNPC
ABL2,CAT
TP53RK,TP53
MAPK3,ATF2
RAC2,PAK1
BRCA2,POLH
SOS1,NRAS
PTK6,AKT1
SOCS1,IRAK1
CDK1,EEF2K
IKBKB,CYLD
RNF111,SMAD3
TCL1A,AKT2
IKBKE,STAT1
PRKAA2,INSR
PPM1A,SMAD2
MDFI,MYOD1
CDK2,RRN3
ERBB4,CBL
IRS1,PIK3CB
RPS6KA1,GSK3B
SRC,EGFR
PRKACA,CD44
MAPK3,LIFR
IL9,IL2RG
HSP90AA1,NOS3
PTK2,RET
TNIK,TCF7L2
SIRT7,TP53
ERBB2,DOCK7
LRIG1,EGFR
ATM,EP300
AKT1,KHSRP
EGFR,STAT1
PTCRA,LCK
CDK1,RB1
TTK,CHEK2
PIAS1,DDX5
MAPK14,GSK3B
ERBB2,SHC3
CAMK2D,HDAC4
AKT1,FOXO4
FGFR1,LDHA
PTK2,PTK2
PDK1,AKT1
CDK1,UBA1
MAPK14,STAT1
PTPN12,SHC1
AKT2,STK3
FOXH1,SMAD2
PDGFB,PDGFRA
LYN,PPP1R15A
PRKAA2,IKBKB
ERBB2,CDK1
ATM,RRM2B
CDK7,CDK4
RHEB,FKBP8
ATM,SMAD1
NLK,LEF1
CBL,EGFR
DAAM1,RHOA
ATM,IKBKG
CDKN2A,CDK6
LRIG1,ERBB3
AURKA,RASSF1
TTK,TP53
MAX,MNT
TNK2,SNX9
RELA,SP1
TP53,RPS6KA1
CSNK1G2,SMAD3
AXIN2,APC
RPS6KB1,MTOR
AKT1,VCP
MAP3K2,MAP2K4
CDK1,EIF4EBP1
PRKACA,KCNK9
PDPK1,MAP2K2
KISS1,KISS1R
CSNK2A1,LEF1
PPM1A,SMAD3
SRC,TIAM1
PRKCE,FGFR1
CDKN1A,CDK1
RIPK2,IRF5
AKT1,MTOR
