gene essential
Q0045 N
Q0050 N
Q0055 N
Q0060 N
Q0065 N
Q0070 N
Q0075 N
Q0080 N
Q0085 N
Q0105 N
Q0110 N
Q0115 N
Q0120 N
Q0130 N
Q0140 N
Q0160 N
Q0250 N
Q0255 N
Q0275 N
R0010W N
R0020C N
R0030W N
R0040C N
YAL001C E
YAL002W N
YAL003W E
YAL005C N
YAL007C N
YAL008W N
YAL009W N
YAL010C N
YAL011W N
YAL012W E
YAL012W N
YAL013W N
YAL014C N
YAL015C N
YAL016W N
YAL017W N
YAL018C N
YAL019W N
YAL020C N
YAL021C N
YAL022C N
YAL023C N
YAL024C N
YAL025C E
YAL026C N
YAL027W N
YAL028W N
YAL029C N
YAL030W N
YAL031C N
YAL032C E
YAL033W E
YAL034C N
YAL034W-A E
YAL035W N
YAL036C N
YAL037C-A N
YAL037W N
YAL038W E
YAL039C N
YAL040C N
YAL041W E
YAL042W N
YAL043C E
YAL044C N
YAL044W-A N
YAL046C N
YAL047C N
YAL048C N
YAL049C N
YAL051W N
YAL053W N
YAL054C N
YAL055W N
YAL056W N
YAL058W N
YAL059W N
YAL060W N
YAL061W N
YAL062W N
YAL064C-A N
YAL065C N
YAL067C N
YAL067W-A N
YAL068C N
YAR002C-A N
YAR002W N
YAR003W N
YAR007C E
YAR008W E
YAR009C N
YAR010C N
YAR014C N
YAR015W N
YAR018C N
YAR019C E
YAR020C N
YAR023C N
YAR027W N
YAR028W N
YAR029W N
YAR031W N
YAR035C-A N
YAR035W N
YAR042W N
YAR050W N
YBL001C N
YBL002W N
YBL003C N
YBL004W E
YBL005W N
YBL005W-A N
YBL005W-B N
YBL006C N
YBL007C N
YBL008W N
YBL008W-A N
YBL009W N
YBL010C N
YBL011W N
YBL013W N
YBL014C E
YBL015W N
YBL016W N
YBL017C N
YBL018C E
YBL019W N
YBL020W E
YBL021C N
YBL022C N
YBL023C E
YBL024W N
YBL025W N
YBL026W E
YBL027W N
YBL028C N
YBL029C-A N
YBL029W N
YBL030C E
YBL031W N
YBL032W N
YBL033C N
YBL034C E
YBL035C E
YBL036C N
YBL037W N
YBL038W N
YBL039C N
YBL040C E
YBL041W E
YBL042C N
YBL043W N
YBL044W N
YBL045C N
YBL046W N
YBL047C N
YBL049W N
YBL050W E
YBL051C N
YBL052C N
YBL054W N
YBL055C N
YBL056W N
YBL057C N
YBL058W N
YBL059W N
YBL060W N
YBL061C N
YBL063W N
YBL064C N
YBL066C N
YBL067C N
YBL068W N
YBL069W N
YBL071C-B N
YBL071W-A N
YBL072C N
YBL074C E
YBL075C N
YBL076C E
YBL078C N
YBL079W N
YBL080C N
YBL081W N
YBL082C N
YBL084C E
YBL085W N
YBL086C N
YBL087C N
YBL088C N
YBL089W N
YBL090W N
YBL091C N
YBL091C-A N
YBL092W E
YBL093C N
YBL095W N
YBL097W E
YBL098W N
YBL099W N
YBL100W-A N
YBL100W-B N
YBL101C N
YBL102W N
YBL103C N
YBL104C N
YBL105C E
YBL106C N
YBL107C N
YBR001C N
YBR002C E
YBR003W N
YBR004C E
YBR005W N
YBR006W N
YBR007C N
YBR008C N
YBR009C N
YBR010W N
YBR011C E
YBR012W-A N
YBR012W-B N
YBR013C N
YBR014C N
YBR015C N
YBR016W N
YBR017C N
YBR018C N
YBR019C N
YBR020W N
YBR021W N
YBR022W N
YBR023C N
YBR024W N
YBR025C N
YBR026C N
YBR028C N
YBR029C E
YBR030W N
YBR031W N
YBR033W N
YBR034C N
YBR035C N
YBR036C N
YBR037C N
YBR038W E
YBR039W N
YBR040W N
YBR041W N
YBR042C N
YBR043C N
YBR044C N
YBR045C N
YBR046C N
YBR047W N
YBR048W N
YBR049C E
YBR050C N
YBR052C N
YBR053C N
YBR054W N
YBR055C E
YBR056W N
YBR057C N
YBR058C N
YBR058C-A N
YBR059C N
YBR060C E
YBR061C N
YBR062C N
YBR063C N
YBR065C N
YBR066C N
YBR067C N
YBR068C N
YBR069C N
YBR070C E
YBR071W N
YBR072C-A N
YBR072W N
YBR073W N
YBR074W N
YBR076W N
YBR077C N
YBR078W N
YBR079C E
YBR080C E
YBR081C N
YBR082C N
YBR083W N
YBR084C-A N
YBR084W N
YBR085C-A N
YBR085W N
YBR086C N
YBR087W E
YBR088C E
YBR090C N
YBR091C E
YBR092C N
YBR093C N
YBR094W N
YBR095C N
YBR096W N
YBR097W N
YBR098W N
YBR101C N
YBR102C E
YBR103W N
YBR104W N
YBR105C N
YBR106W E
YBR106W N
YBR107C N
YBR108W N
YBR109C E
YBR110W E
YBR111C N
YBR111W-A N
YBR112C E
YBR112C N
YBR114W N
YBR115C N
YBR117C N
YBR118W N
YBR119W N
YBR120C N
YBR121C N
YBR122C N
YBR123C E
YBR125C N
YBR126C N
YBR127C N
YBR128C N
YBR129C N
YBR130C N
YBR131W N
YBR132C N
YBR133C N
YBR135W E
YBR136W E
YBR137W N
YBR138C N
YBR139W N
YBR140C E
YBR141C N
YBR142W E
YBR143C E
YBR145W N
YBR146W N
YBR147W N
YBR148W N
YBR149W N
YBR150C N
YBR151W N
YBR152W E
YBR153W E
YBR154C E
YBR155W E
YBR156C N
